2017-02-23 17:52:09,267 [Worker-49] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/wildfly/plugins/wildfly-maven-plugin-parent/1.2.0.Alpha2/wildfly-maven-plugin-parent-1.2.0.Alpha2.pom
2017-02-23 17:52:09,382 [Worker-49] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/jboss/jboss-parent/22/jboss-parent-22.pom
2017-02-23 17:52:09,583 [Worker-49] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/jboss/jboss-parent/22/jboss-parent-22.pom
2017-02-23 17:52:09,728 [Worker-49] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/wildfly/plugins/wildfly-maven-plugin/1.2.0.Alpha2/wildfly-maven-plugin-1.2.0.Alpha2.jar
2017-02-23 17:52:09,998 [Worker-49] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/wildfly/plugins/wildfly-maven-plugin/1.2.0.Alpha2/wildfly-maven-plugin-1.2.0.Alpha2.jar
2017-02-23 17:52:10,369 [Worker-49] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SaiBankMiddleware:SaiBankMiddleware:0.0.1-SNAPSHOT @ D:\SaibankSwitch\SaiBankMiddleware\pom.xml.
2017-02-23 17:52:10,933 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-23 17:52:10,937 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\SaibankSwitch\SaiBankMiddleware\src\main\resources
2017-02-23 17:52:10,939 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-23 17:52:10,944 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\SaibankSwitch\SaiBankMiddleware\src\test\resources
2017-02-23 17:52:10,945 [Worker-49] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SaiBankMiddleware
2017-02-23 17:52:10,945 [Worker-49] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SaiBankMiddleware
2017-02-23 17:52:10,949 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-23 17:54:25,139 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SaiBankMiddleware:SaiBankMiddleware:0.0.1-SNAPSHOT @ D:\SaibankSwitch\SaiBankMiddleware\pom.xml.
2017-02-23 17:54:25,186 [Worker-45] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/wildfly/bom/jboss-javaee-7.0-with-tools/${version.jboss.bom}/jboss-javaee-7.0-with-tools-${version.jboss.bom}.pom
2017-02-23 17:54:25,192 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.wildfly.bom:jboss-javaee-7.0-with-tools:jar:${version.jboss.bom} is missing, no dependency information available
2017-02-23 17:54:25,548 [Worker-47] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/wildfly/bom/jboss-javaee-7.0-with-tools/${version.jboss.bom}/jboss-javaee-7.0-with-tools-${version.jboss.bom}.pom
2017-02-23 17:54:25,551 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.wildfly.bom:jboss-javaee-7.0-with-tools:jar:${version.jboss.bom} is missing, no dependency information available
2017-02-23 17:54:25,765 [Worker-45] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/wildfly/bom/jboss-javaee-7.0-with-tools/${version.jboss.bom}/jboss-javaee-7.0-with-tools-${version.jboss.bom}.jar
2017-02-23 17:54:25,966 [Worker-47] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/wildfly/bom/jboss-javaee-7.0-with-tools/${version.jboss.bom}/jboss-javaee-7.0-with-tools-${version.jboss.bom}.jar
2017-02-23 17:54:26,004 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.wildfly.bom:jboss-javaee-7.0-with-tools:jar:${version.jboss.bom} is missing, no dependency information available
2017-02-23 17:54:26,540 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-23 17:54:26,547 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\SaibankSwitch\SaiBankMiddleware\src\main\resources
2017-02-23 17:54:26,549 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-23 17:54:26,555 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\SaibankSwitch\SaiBankMiddleware\src\test\resources
2017-02-23 17:54:26,556 [Worker-47] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SaiBankMiddleware
2017-02-23 17:54:26,556 [Worker-47] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SaiBankMiddleware
2017-02-23 17:54:26,559 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-23 17:55:16,375 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SaiBankMiddleware:SaiBankMiddleware:0.0.1-SNAPSHOT @ D:\SaibankSwitch\SaiBankMiddleware\pom.xml.
2017-02-23 17:55:16,882 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-23 17:55:16,886 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\SaibankSwitch\SaiBankMiddleware\src\main\resources
2017-02-23 17:55:16,887 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-23 17:55:16,890 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\SaibankSwitch\SaiBankMiddleware\src\test\resources
2017-02-23 17:55:16,891 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SaiBankMiddleware
2017-02-23 17:55:16,891 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SaiBankMiddleware
2017-02-23 17:55:16,894 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
